study,Journal,Start Date,End Date,Country,Income,Region,WHO_Region,Study Design,Setting,Sample,Is this a special population?,Age,Age (measure),Female patients (n),Disease Severity,Do all patients included have laboratory-confirmed SARS-CoV-2 infection? (If not - study should be excluded),"Does the study meet any of the listed exclusion criteria (see covidence/protocol(?  IF YES to any, please do not proceed and send Brad Covidence #",ARDS,Mechanical Ventilation,ICU ,Smokers,COPD,CVD,Diabetes,Dialysis,Malignancy,Immunocompromised,"Patients identified to have growth of significant bacteria in the respective appropriate culture specimens (e.g., urine, tracheal aspirate, and blood from the central line, etc.) collected during admission were included.",Testing,Provide detail about testing methods - can cut and paste from text,clinical_def,body_site_specific,body_site,patients_eval,coinfection,secondary_infection,bacterial_infection_unspecified,Resistant co-infection,Resistant secondary infection,resistant unknown bacterial infection,Bacteria names specified?,Susceptibility_reported,AMR_Prev_Evaluable?,Resistant_pts_total,NonR_pts_total,UnknownR_pts_total,Pts_Denom,Resistant_organisms,Non-Resistant organisms,Unknown organism resistance,Orgs_Denom,blood_organisms_total,blood_R_organisms_total,resp_organisms_total,resp_R_organisms_total,urine_organisms_total,urine_R_organisms_total,skin_organisms_total,skin_R_organisms_total,other_site_organism_total,other_R_organisms_total,unknown_site_total,unknown_site_R_total,Mycoplasma,Chlamydia,Legionella,SA,blood_SA,resp_SA,urine_SA,skin_SA,other_SA,SA_R,MRSA,VRSA,S_pneumo,blood_Strepp,resp_Strepp,urine_Strepp,other_Strepp,S_pneumo_R,S_pneumo_pen_R,S_pneumo_FQ_R,Enterococcus,blood_Enterococcus,resp_Enterococcus,urine_Enterococcus,skin_Enterococcus,other_enterococcus,Enterococcus_R,Haemophilus_isolates,blood_Hflu,resp_Hflu,urine_Hflu,skin_Hflu,Hflu_R_isolates (AmpR Hflu),Psa,blood_Psa,resp_Psa,urine_Psa,skin_Psa,other_Psa,Psa_R,Psa_ESBL,Psa_CR,Psa_ColR,Psa_MDR,Kleb,blood_Kleb,resp_Kleb,urine_Kleb,skin_Kleb,other_kleb,Kleb_R,Kleb_ESBL,Kleb_CR,Kleb_ColR,Kleb_MDR,Ecoli,blood_EColi,resp_EColi,urine_EColi,skin_EColi,other_EColi,EColi_R,Ecoli_ESBL,Ecoli_CR,Ecoli_ColR,Ecoli_MDR,Acineto,blood_Acineto,resp_Acineto,urine_Acineto,skin_Acineto,other_Acineto,Acineto_R,Acineto_CR,Acineto_ColR,Acineto_MDR,Ebacter,blood_Ebacter,resp_Ebacter,urine_Ebacter,skin_Ebacter,Ebacter_R_isolates,Ebacter_ESBL,Ebacter_CR,Ebacter_ColR,Ebacter_MDR,CNST,CNST_blood,CNST_resp,CNST_other,Citrobacter,blood_Citrobacter,resp_Citrobacter,urine_Citrobacter,skin_Citrobacter,other_Citro,C_bacter_R_,MDR Citrobacter,Moraxella,blood_Morax,resp_Morax,urine_Morax,skin_Morax,Steno,blood_Steno,resp_Steno,urine_Steno,skin_Steno,other_Steno,Steno_MDR,Serratia,blood_Serratia,resp_Serratia,urine_Serratia,skin_Serratia,Serratia_R,Serratia_ESBL,Serratia_CR,Serratia_ColR,Strep not-Pneumo,Proteus,blood_Proteus,resp_Proteus,urine_Proteus,skin_Proteus,other_proteus,Proteus_R,Proteus_ESBL,Proteus_CR,Proteus_ColR,Proteus_MDR,Other GN,Other GP,Other not reported,C difficile  - Don't count towrds other columns (pts),Other bacteria not previously reported,corticosteroids,il_6_inhibitors,abx,Critical Appraisal 1: Was the study’s target population a close representation of the national population in relation to relevant variables? ,Critical Appraisal 2: Was the sampling frame a true or close representation of the target population?,"Critical Appraisal 3 Was some form of random selection used to select the sample, OR, was a census undertaken?",Critical Appraisal 4: Was the likelihood of nonresponse bias minimal?,Critical Appraisal 5: Were data collected directly from the subjects (as opposed to a proxy)?,Critical Appraisal 6: Was an acceptable case definition used in the study?,Critical Appraisal 7: Was the study instrument that measured the parameter of interest shown to have validity and reliability?,Critical Appraisal 8: Was the same mode of data collection used for all subjects?,Critical Appraisal 9: Was the length of the shortest prevalence period for the parameter of interest appropriate?,Critical Appraisal 10: Were the numerator(s) and denominator(s) for the parameter of interest appropriate?,bias,Quality_score,"Did this study evaluate bacterial co-infection or secondary infection outcomes compared to non-coinfection or non-secondary infection clinical outcomes? (i.e, mortality or LOS)",Mortality difference,LOS difference,Adjusted? (at minimum age),Mortality OR/HR Co-infection,LCL (Mortality OR/HR Co-infection),UCL (Mortality OR/HR Co-infection),Mortality OR/HR Secondary Infection,LCL (Mortality OR/HR Secondary Infection),UCL (Mortality OR/HR Secondary Infection),Mortality OR/HR unspecified/both types Infection,LCL (Mortality OR/HR unspecified/both types Infection),UCL (Mortality OR/HR unspecified/both types Infection),Infection_Type,Infection_Prevalence,I_Prev_Sensi_exclude,AMR_Prevalence_Overall,AMR_Prevalence_Select
"Palanisamy N, 2021",BMC Infect Dis,07/01/2020,12/31/2020,India,LMIC,Asia,South-East Asia,Retrospective Cohort,Hospital ICU,750,Hospital ICU with BSI after 48 h (those with BSI before 48 h excluded),62,Median,188,Critical,Yes,No,,137,750,,29,67,207,14,,64,64=immunosuppresant use,Culture,"Bloodstream infections were defined by the presence of viable bacterial or fungal microorganisms in the bloodstream (demonstrated by the positivity of one or more blood cultures) that have elicited an inflammatory response characterized by the alteration of clinical, laboratory, and hemodynamic parameters [11]. For skin contaminants (like coagulase-negative Staphylococcus), at least two consecutive blood cultures for the same pathogen were considered as BSIs. Isolation of the same microorganisms from the bloodstream within 14 days was not considered a novel event and excluded from the analysis.",Yes,blood,blood,750,,64,,,,,Yes,Yes,Yes,29,35,,64,37,27,,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,,,,,2,,,,,,,4,4,,,,,0,0,0,0,0,14,14,,,,,10,,10,1,,7,7,,,,,7,7,1,1,,21,21,,,,,7,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,"4=Burkholderia cepacia, 3=Elizabethkinga",750,57,,Yes,Yes,Yes,Yes ,Yes,Yes,Yes,Yes,Yes,Yes,low,9,Yes,"mortality rate was 100% (64) in the BSIs group and 33.8% (232) in the non-BSIs group, which was statistically signifcant (p-value < 0.0001).",No,"No. But... Linear regression analysis showed a positive correlation (coefficient of determination, R2=74.2%) between time to positivity of blood cultures and time to death (from the day of hospitalization) after adjusting confounding factors like age and sex",,,,,,,,,,Secondary,Y,,Y,Y
"Pasquini Z, 2021",Int J Infect Dis ,01/01/2020,06/30/2020,Italy,HIC,Europe,Europe,Retrospective Cohort,Hospital,1182,BSI ,unspecified,,unspecified,All combined,Yes,No,,,155,,,,,,,,,Culture,Blood cultures from peripheral access or central venous catheters (CVCs) were performed as requested by a physician for patients pre- senting clinical deterioration associated with suggestive laboratory findings. Cultured micro-organisms were identified using standard techniques. Single blood cultures from contaminant pathogens such as coagulase-negative staphylococci (CoNS) were not consid-ered.,Yes,blood,blood,1182,,,107,,,,Yes,Yes,No,,,,,23,7,81,111,111,25,,,,,,,,,,,,,,13,13,,,,,6,6,,,,,,,,,,14,14,,,,,,,,,,,,8,8,,,,,,,,,,17,17,,,,,17,,17,,,,,,,,,,,,,,19,19,,,,,,,,,,,,,,,,,,,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,7,,,,,,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,Yes,No or unclear,low,8,No,,,,,,,,,,,,,Unspecified,Y,,N,Y
"Payson A, 2021",Pediatr Emerg Care,03/01/2020,11/30/2020,United States,HIC,North America,North America,Case Control,Hospital,53,Neonates 0-90 days old with fever and COVID-19,0.13,Mean/Average,,All combined,Yes,No,,,,,,,,,,,,Culture,"An SBI was defined as the growth of a pathogenic, bacterial organism in the urine, blood, stool, or CSF",Yes,"blood, resp, urine, stool, CSF",multiple,53,,,4,,,,Yes,No,No,,,4,4,,,4,4,,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,Salmonella=1,,,25,No,No or unclear,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,moderate,7,No,,,,,,,,,,,,,Unspecified,Y,,N,N
"Perez-Garcia CN, 2021",J Clin Med,03/04/2020,04/16/2020,Spain,HIC,Europe,Europe,Retrospective Cohort,Hospital,324,Deceased inpatients,82.8,Median,143,,Yes,No,,,,110,49,40,111,,42,55,Immunosuppression,Culture,Secondary infection was diagnosed when the patient had a positive culture from lower respiratory tract specimens or blood samples ,Yes,"blood, resp",multiple,324,,,17,,,,No,No,No,,,17,17,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,15,,No,Yes,Yes,Yes,Yes,No,Yes,No or unclear,Yes,No,moderate,6,No,,,,,,,,,,,,,Unspecified,Y,,N,N
"Pettit N, 2021",Journal of Medical Virology,03/01/2020,05/25/2020,United States,HIC,North America,North America,Retrospective Cohort,Hospital,148,tocilizumab and co-infections,65.5,Mean/Average,72,Severe,Yes,No,,48,104,,,55,52,,,13,"HIV=1, Immunocompromised=12",Culture,"Infection other than SARS-CoV-2 was defined as positive culture or NAAT for which directed therapy was initiatied. Late-onset infections were those that occured >48h after admission. We evaluated respiratory cultures, blood cultures, tissue cultures, fluid cultures, CMV infection and C diffile. Positive urine cultures were excluded as any positive urine cultures represent colonization and assessment of symptoms to determine the presence of true infection was often not possible.",No,"resp, blood, skin, bone and joint, IAI",multiple,148,,15,,,,,Yes,Yes,No,,,15,15,1,7,10,18,3,,14,1 MRSA,,,1,,,,,,,,,8,1,6,,1,,1,1,0,,,,,,,,,,,,,,,,,,,,,,3,,3,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,1,,,,,,,,1,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,1,,4,"Burkholderia=1, C perfringens = 1 ",,74,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,low,9,No,-,-,-,,,,,,,,,,Secondary,Y,,N,Y
"Petty L, 2021",Infect Control Hosp Epidemiol,03/16/2020,08/14/2020,United States,HIC,North America,North America,Retrospective Cohort,Hospital,2205,,64.9,Median,1051,All combined,Yes,No,,345,287,,274,1597,820,,55,271,SOT + immunosuppressive drugs,Culture,"A coinfection was defined as a positive respiratory or blood culture with a pathogenic organism, following National Health Safety Network (NHSN) criteria.",Yes,"resp, blood",multiple,2205,66,75,,,,,Yes,Yes,No,,,141,141,26,32,87,145,52,7,93,19,,,,,,,,,1,,3,58,16,42,,,,26,26,,5,,5,,,,,,7,7,,,,,,8,2,6,,,,15,3,12,,,,,,,,,6,2,4,,,,,,,,,12,6,6,,,,,,,,,3,3,,,,,,,,,3,,3,,,,,,,,7,7,,,1,,1,,,,,,1,,1,,,2,,2,,,,,,,,,,,,,,5,3,2,1,,,,,,,,,,,5,," Bacteroides=2, Other=3",661,34,1386,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,low,10,Yes,"After adjustment, community-onset coinfection was associated with higher in-hospital (OR, 1.90; 95% CI, 1.06â€“3.40; P = .03) and 60-day mortality (OR, 1.86; 95% CI, 1.05â€“3.29; P = .03). Similar to community- onset coinfection, hospital-acquired coinfection (compared to no coinfection) was associated with a higher in-hospital mortality rate (OR, 4.17; 95% CI, 2.37â€“7.33; P â‰¤ .001) and 60-day mortality rate (OR, 3.66; 95% CI, 2.11â€“6.33; P < .001).",,Yes,1.9,1.06,3.4,4.17,2.37,7.33,,,,Both,Y,,N,Y
"Pickens C, 2020",Am J Respir Crit Care Med,03/01/2020,06/30/2020,United States,HIC,North America,North America,Retrospective Cohort,Hospital ICU,179,Hospital ICU and intubated,62.4,Median,69,Critical,Yes,No,,179,179,4,16,21,80,14,18,11,11=solid organ transplant,Culture + Urine Ag,Bacterial superinfection as the detection by quantitative culture or multiplex PCR of a respiratory pathogen known to cause pneumonia on a BAL specimen.  Pneumococcal and/or Legionella UAT were obtained on 64 patients; all were negative.,Yes,resp,resp,179,28,72,,2,19,,Yes,Yes,No,19,7,46,72,23,26,107,156,,,156,23,,,,,,,,,,,,36,,36,,,,10,10,,19,,19,,,,,,15,,15,,,,,4,,4,,,,13,,13,,,,,,,,,19,,19,,,,,,,,,9,,9,,,,,,,,,,,,,,,,,,,4,,4,,,,,,,,,,,,2,,2,,,,,,1,,1,,,1,,1,,,,,6,,6,,,,,,,14,4,,4,,,,,,,,,7,1,,,"2=Achromobacter xylosoxidans, 2=Burkholderia cepacia, 1=Chryseobacterium indologenes, 1=Elizabethkingia, 1=Hafnia; 1=Stomatococcus",58,30,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,low,10,Yes,Mortality of 3(10.7%) in with superinfection (early BAL) vs 17 (16.2%) without early superinfection,There was no difference in length of stay.,No,,,,,,,,,,Secondary,Y,,N,Y
"Pink I, 2020",Infection,03/06/2020,12/15/2020,Germany,HIC,Europe,Europe,Retrospective Cohort,Hospital,99,Hospital,57,Median,27,All combined,Yes,No,,,52,,8,17,19,,8,9,Immunodeficiency and organ transplantation,Culture + Urine Ag,"Blood culture, resp culture, urine culture",Yes,"resp, blood, urine",multiple,99,,,32,,,,Yes,No,no,,,32,32,,,37,37,12,,21,,4,,,,,,,,,,,3,,3,,,,,,,,,,,,,,,1,1,,,,,,4,,4,,,,5,1,2,2,,,,,,,,6,1,4,1,,,,,,,,9,3,5,1,,,,,,,,1,,1,,,,,,,,1,,1,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,Staph. hominis (n = 1),,,68,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,low,9,No,,,,,,,,,,,,,Unspecified,Y,,N,N
"Posteraro B, 2021 (1)",Microbiol Spectr,09/24/2020,03/08/2021,Italy,HIC,Europe,Europe,Propsective Cohort,Hospital ICU,150,Mechanically ventilated patients with suspected pneumonia,"not specified, only available for patients diagnosed with pneumonia",,not specified,Critical,Yes,No,,150,150,,,,,,,,,Culture,"Specimens tested using standard of care and multiplexed, semiquantitative FilmArray pneumonia plus (FA-PP) panel; only SoC results extracted",Yes,resp,resp,150,,,97,,,,Yes,Yes,No,,,97,97,45,138,,183,,,183,45,,,,,,,,,,,,45,,45,,,,23,23,,4,,4,,,,,,,,,,,,,2,,2,,,,19,,19,,,,,,,,,30,,30,,,,,,,,,15,,15,,,,,,,,,53,,53,,,,19,,19,,4,,4,,,,,,,,,,,,1,,1,,,,,,,,,,,2,,2,,,,,6,,6,,,,,,,,2,,2,,,,,,,,,,,,,,,,,No or unclear,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,Yes,No or unclear,moderate,7,No,,,,,,,,,,,,,Unspecified,Y,,N,Y
"Posteraro B, 2021 (2)",J Clin Med,03/01/2020,05/31/2020,Italy,HIC,Europe,Europe,Retrospective Cohort,Hospital,293,Only included patients that had blood cultures drawn on or after admission,,,,All combined,Yes,No,,,,,,,,,,,,Culture,blood culture,Yes,blood,blood,293,,,44,,,,Yes,Yes,Yes,30,14,,44,25,35,,60,60,25,,,,,,,,,,,,,,19,19,,,,,15,15,,2,2,,,,,,,12,12,,,,,1,,,,,,,6,6,,,,,3,1,2,,,5,5,,,,,3,1,2,,,2,2,,,,,2,1,1,,,2,2,,,,,2,2,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,3,3,3,,,,,,,,,,3,,,,"Morganella=1, Bacteroides fragilis=2",,,,No,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,Yes,Yes,low,8,Yes,"Patients who developed a positive blood culture-based clinically relevant BSI during hospitalization for COVID-19 found a 43.5% (20/46) rate of in-hospital mortality. This rate was significantly higher than that of COVID-19 patients without positive blood cultures (24.2%; 52/215) who were hospitalized during the study period (1 March to 31 May 2020) (not shown; Chi-square test, p = 0.008).",,,,,,,,,,,,Unspecified,Y,Y,Y,Y
"Putot A, 2020",J Gerontol Ser A,03/01/2020,12/31/2020,France and Switzerland,HIC,Europe,Europe,Retrospective Cohort,Hospital,914,75 years or older (acute geriatric units - ward only),86,Median,466,Moderate - Severe,Yes,No,,,0,,,148,234,,149,,,Culture,"Confirmed superinfection was defined as any infection with clinical features and a positive microbiological sampling (blood cultures, sputum or aspiration cultures or positive serology for Chlamydia pneumoniae, urine cultures, positive enzyme immunoassay or PCR for C. difficile toxin). Suspected bacterial pneumonia was defined as a clinical suspicion of superinfection leading to an antibiotic prescription during the hospital stay.",Yes,"resp, blood, urine",multiple,914,,72,,,,,Yes,No,No,,,,,,,76,76,64,,12,,,,,,,,,,,,,4,4,,,,,,,,3,,3,,,,,,5,5,,,,,,,,,,,,10,6,4,,,,,,,,,4,4,,,,,,,,,,25,25,,,,,,,,,,1,1,,,,,,,,,1,,1,,,,,,,,,,,,1,,1,,,,,,,,,,,2,,2,,,,,2,1,1,,,,,,,4,1,1,,,,,,,,,,1,12,,13,"1=Actinotignum shaali, 12=""other staphylococcus"" (?CNST), 74=unknown (isolates from urine, authors don't report)",349,71,725,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,low,8,No,-,-,-,,,,,,,,,,Secondary,Y,,N,N
"Ramadan HKA, 2020",Infection and Drug Resistance,05/03/2020,06/30/2020,Egypt,LMIC,Africa,Eastern Mediterranean,Prospective Cohort,Hospital,260,,,most common age range was between 51 and 70 years (36.2%),116,All combined,Yes,No,20,8,,44,2,18,60,,,,,Culture,"blood culture, sputum and endotracheal aspirates",Yes,"resp, blood",multiple,260,28,,,,,,Yes,Yes,Yes,28,,,28,37,0,0,37,0,,37,"5 MRSA, 10 CRE Kleb, 2 ESBL Kleb, 7 CRE A baumanii, 4 CRE P aeruginosa, 4 CRE E Coli, 1 CRE Enterbacter, 1 ESBL Enterobacter, 2 pen-R Strep pneumo, 1 E faecalis R amp, ",,,,,,,,,,,,5,,5,,,,5,5,,2,,0,,,2,2,1,1,,1,,,,,,,,,,,4,,4,,,,4,,4,,,12,,12,,,,12,2,10,,,4,,4,,,,,,4,,,7,,7,,,,7,7,,,2,,2,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No or unclear,Yes,Yes,No or unclear,Yes,No or unclear,Yes,No or unclear,moderate,6,Yes,Presence of co-infection was linked to 6/24 (25%) of the cases of mortality,No,No,,,,,,,,,,Co-infection,Y,,Y,Y
"Ramos R, 2021",Enfermedades Infecciosas y MicrobiologÃ­a ClÃ­nica,03/01/2020,06/30/2020,Spain,HIC,Europe,Europe,Retrospective Cohort,Hospital ICU,213,Hospital ICU,61,Median,103,Critical,Yes,No,,184,213,,,,,,,,,Culture,Superinfections were defined as their appearance 48 h after,Yes,"resp, blood, urine",multiple,213,,95,,,,,Yes,Yes,Yes,37,58,,95,39,112,,151,65,,72,,15,,,,,,,,,,,10,3,7,,,,3,3,,,,,,,,,,24,16,,8,,,2,,,,,,,20,,17,3,,,10,,0,,10,10,,10,,,,10,7,4,,,2,,2,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,26,26,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,33,5,21,,"9=Burkholderia cepacia, 24=GNB, 5=B cereus, 4=not confirmed",185,170,118,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,low,8,No or unclear,There was a non-significant trend toward higher in-,"Compared to the control group, patients with superinfec-",No,,,,,,,,,,Secondary,Y,,Y,Y
"Rajni E, 2021",Indian J Crit Care Med,03/23/2020,08/23/2020,India,LMIC,Asia,South-East Asia,Retrospective Cohort,Hospital,158,COVID patients in ward/ICU with blood cultures drawn ,52.1,Weighted mean of medians,52,All combined,Yes,No,,,38,,,,,,,,,Culture,"All blood cultures received from COVID-positive patients
admitted in designated COVID care ICUs and wards were included
in the study. Blood cultures were done using BD BACTECâ„¢ FX40,
and identification and antimicrobial susceptibility testing of isolates
were done by VITEKÂ® 2 COMPACT",Yes,blood,blood,158,,,14,,,,Yes,Yes,No,1,,13,14,1,1,12,14,14,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,0,1,,,,,,,,,,,,,,,,,,,,,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,No or unclear,Yes,moderate,7,Yes,"hospital mortality in the superinfection group (45.3% vs. 39.7%, p","tions presented a prolonged ICU length of stay (35 vs. 12 days,",No,,,,,,,,,,Unspecified,Y,,N,Y
"Rakiro J, 2021",IJID Regions,03/01/2020,05/01/2021,Kenya,LMIC,Africa,Africa,Retrospective Cohort,Hospital ICU,321,ICU > 24h,61.4,Median,92,Critical,Yes,No,,143,321,,,,154,,13,,,Culture,the cultures of a pathogen microorganism. MICs were determined,Yes,"resp, blood, urine",multiple,321,5,62,,,,,Yes,Yes,Yes,,,67,67,84,,111,195,75,,102,6 MRSA,18,,,,,,,"25 ESBL E Coli, 2 CRE E Coli, 15 ESBL Kleb, 10 CRE Kleb, 21 CRAB, 5 MDR Pseudomonas",,,,8,,8,,,,6,6,,1,,1,,,,,,13,13,,,,,,,,,,,,36,16,17,3,,,5,,,,5,46,17,26,3,,,25,15,10,,,32,5,17,10,,,27,25,2,,,22,7,13,2,,,21,21,,,9,1,8,,,,,,,,8,8,,,3,1,2,,,,,,,,,,,10,,10,,,,,1,1,,,,,,,,1,,,,,,,,,,,,4,1,,,"2=Burkholderia cepacia, 1=Granulicatella adiacens, 1=Salmonella group D, 1=Leuconostoc pseudomesenteroides",281,199,224,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,low,9,Yes,"The presence of added microbial infections was significantly associated with higher mortality (un- adjusted OR = 2.41, translating into 141% higher odds for infections
leading to death compared with no infections), as well as prolonged time to discharge from critical care or discharge from hospital for survivors.",,No,,,,,,,,,,Both,Y,,Y,Y
"Rana MA, 2021",Pakistan J Med Health Sci,05/01/2020,04/30/2021,Pakistan,LMIC,Asia,Eastern Mediterranean,Retrospective Cohort,Hospital ICU,400,Hospital ICU; post-toci secondary infections -- however authors don't report how many patients received toci!,,,,Critical,Yes,No,,332,400,,,,,,,,,Culture,"The species causing BSIs were identified by means of Vitek MS matrix-assisted laser desorption/ionization time-of-flight mass spectrometry (bioMÃ©rieux, Marcy lâ€™Etoile, France). Antimicrobial susceptibility and resistance detection of the clinical isolates were determined using the automated Vitek 2 system (bio-MÃ©rieux). The interpretation of susceptibility patterns was performed according to the European
Committee on Antimicrobial Susceptibility Testing.",Yes,"resp, blood",multiple,400,,90,,,,,Yes,Yes,No,,,,,66,,24,90,61,,45,,,,,,,,,,,,,4,,,,,,4,4,,,,,,,,,,14,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No or unclear,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,moderate,7,Yes,"umented superinfection, in-hospital mortality rates were 47.8% in",All the patients who had infection had prolonged median ICU stay (18 days; IQR 12â€“30 as compared to those who did not IQR 4â€“10; p < 0.001),No,,,,,,,,,,Secondary,Y,,N,Y
"Razazi K, 2020",Critical Care,,04/29/2020,France,HIC,Europe,Europe,Retrospective Cohort,Hospital ICU,90,ICU patients with ARDS,59,Median,16,Critical,Yes,No,90,90,90,25,9,,39,2,6,19,"Solid cancer=5, blood cancer=5, organ transplant=1, HIV=3, Sickle cell=3, Other=2",Culture + Urine Ag,"All suspected VAP were confrmed from quantitative cultures of lower respiratory tract secretions sampled before administering new antibiotics using a blinded protected telescope catheter or bronchoscopy. Bacterial coinfection at ICU admission was evidenced by the detection of bacteria in the sputum or in blood samples, in the absence of other sources of infection, or by a positive pneumococcal or L. pneumophila serotype 1 urinary antigen test. ",Yes,"resp, blood",multiple,90,14,56,,,,,Yes,Yes,No,,,70,70,11,5,72,88,,,85,"10 ESBLs enterobactericiae (unspecified), 1 CRE (unspecified)",,,,,,,,,,,,5,,5,,,,0,0,,1,,1,,,,,,1,,1,,,,,,,,,,,19,,19,,,,,,,,,5,,5,,,,,,,,,10,,10,,,,,,,,,1,,1,,,,,,,,24,,24,,,,,,,,,,,,3,,3,,,,,,,,,,,3,,3,,,,,1,,1,,,,,,,3,4,,4,,,,,,,,,8,,,,"Hafnia=4, Burkholderia Cepacia=2, Branhamella catarrhalis=2, Polymicrobial=15",35,7,90,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,low,9,No,"the superinfection group vs. 39.7% in controls, p 0.12. No significant",-,-,,,,,,,,,,Both,Y,,N,Y
"Ripa M, 2020",Clin Microbiol Infect,02/25/2020,05/19/2020,Italy,HIC,Europe,Europe,Retrospective Cohort,Hospital,731,,64,Median,235,All combined,Yes,No,,,86,,47,173,130,,102,0,biological immunosuppressive drugs,Culture,"Bloodstream infections (BSIs) were defined as a single positive blood culture for a likely pathogen or two or more positive blood cultures for common skin colonizers (i.e. coagulase-negative staphylococci, diphtheroids, Bacillus spp., Propionibacterium spp., viridans group streptococci), without a concomitant microbiologically documented lower respiratory tract infection due to the same pathogen. Patients who had more than one positive blood culture within 7 days from the first positive blood culture were considered to have a single episode of BSI with multiple isolates. Positive cultures of potentially pathogenic organisms from the lower respiratory tract were defined as positive culture of a respiratory specimen obtained with invasive techniques (bronchoscopyguided bronchoalveolar lavage (BAL) or, when not available, bronchial aspirate (BRASP))",Yes,"resp, blood",multiple,731,,68,,,,,Yes,Yes,Yes,,,68,68,29,2,83,114,99,"1 MRSA, 4 VRE, 2 3GC-R E cloacae, 4 3GC-R E Coli, 7 CRO A baumanii, 2 CRO Psa",15,"3 CRO Psa, 2 3GC-R E cloacae, 1 CRE Enterobacter, 1 CRE Kleb, 2 CRE Acinetobacter",,,,,,,,,,,,3,2,1,,,,1,1,,,,,,,,,,20,20,,,,,4,,,,,,,10,4,6,,,,5,,5,,,4,2,2,,,,1,,1,,,5,5,,,,,4,4,,,,9,7,2,,,,9,9,,,5,2,3,,,5,4,1,,,53,53,,,,,,,,,,,,,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,"Clostridium spp=1, Pantoea agglomerans=1, Fusobacterium nucleatum=2",108,62,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,low,9,No,differences were found in the remaining variables analyzed.,-,-,,,,,,,,,,Secondary,Y,,Y,Y
